,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
0,2018,422,LBN,170,ar,1,27,1,170,6,0,2,1,4,2,3,2,5,-4
1,2017,32,ARG,1270,es,1,70,3,1270,5,-5,2,1,6,2,3,2,1,32001
2,2022,203,CZE,1040,cs,2,47,2,1040,6,2,2,1,6,2,4,2,0,203003
3,2021,862,VEN,1270,es,2,33,2,1270,2,3,3,2,8,2,2,2,1,862001
4,2021,51,ARM,200,hy,2,63,3,200,1,3,3,2,1,-3,4,2,3,51001
5,2019,158,TWN,2870,zh,1,30,2,2870,6,0,7,3,-3,2,4,2,9,158002
6,2018,458,MYS,2810,ms,1,44,2,2810,1,4,2,1,5,2,1,2,5,458004
7,2017,840,USA,1240,en,2,52,3,1240,3,1,3,2,-3,2,4,2,0,840001
8,2022,203,CZE,1040,cs,2,73,3,1040,5,2,2,1,4,1,4,2,0,203003
9,2020,320,GTM,1270,es,1,54,3,1270,1,3,6,3,1,2,3,2,1,320003
10,2021,862,VEN,1270,es,1,20,1,1270,2,2,1,1,0,-3,3,2,2,862003
11,2020,320,GTM,1270,es,1,18,1,1270,6,0,3,2,-2,-2,3,2,1,320003
12,2017,32,ARG,1270,es,2,37,2,1270,3,1,3,2,8,2,3,2,1,32001
13,2020,762,TJK,4160,tg,2,38,2,4160,1,4,3,2,9,-2,5,3,5,762001
14,2020,558,NIC,1270,es,1,31,2,1270,2,4,2,1,4,1,3,2,0,558001
15,2018,764,THA,4230,th,2,22,1,1260,6,0,2,1,4,-2,3,1,7,764001
16,2018,484,MEX,1270,es,1,40,2,1270,1,1,3,2,5,2,4,2,1,484003
17,2018,642,ROU,3580,ro,1,59,3,3580,1,2,7,3,1,1,2,2,3,642005
18,2018,276,DEU,1530,de,2,62,3,1530,1,3,7,3,1,2,2,2,0,-4
19,2022,528,NLD,1190,nl,1,75,3,1190,1,2,6,3,1,1,2,2,2,528001
20,2022,203,CZE,1040,cs,2,77,3,1040,5,2,2,1,7,-1,5,1,0,203003
21,2018,50,BGD,490,bn,2,29,1,490,1,1,2,1,0,-3,4,2,5,50006
22,2022,826,GBR,1240,en,1,47,2,1240,6,-4,5,3,3,2,-4,2,0,826100
23,2019,788,TUN,170,ar,2,53,3,4360,1,3,-5,-5,8,2,3,1,5,788005
24,2020,124,CAN,1240,en,2,41,2,1400,1,2,3,2,2,1,2,2,0,124001
25,2020,364,IRN,3490,fa,1,80,3,310,1,2,7,3,1,1,3,2,5,364002
26,2017,643,RUS,3630,ru,1,82,3,3630,5,2,0,1,9,1,3,2,3,643001
27,2020,558,NIC,1270,es,2,55,3,1270,2,0,6,3,6,2,2,2,0,558001
28,2021,504,MAR,170,ar,2,29,1,170,1,0,2,1,3,2,2,3,5,504005
29,2019,446,MAC,2870,zh,1,47,2,790,1,1,6,3,1,3,3,2,7,446006
30,2017,68,BOL,1270,es,2,20,1,1270,6,0,6,3,3,1,3,3,1,68001
31,2018,76,BRA,3530,pt,2,48,2,3530,5,2,6,3,2,1,4,1,1,76002
32,2019,608,PHL,820,ceb,2,51,3,3670,1,6,0,1,5,2,5,1,1,608017
33,2018,566,NGA,1240,en,2,58,3,-2,1,5,-5,-5,1,-1,-1,2,2,566999
34,2017,68,BOL,1270,es,1,38,2,1270,1,3,3,2,5,2,2,3,1,68003
35,2020,554,NZL,1240,en,2,66,3,1240,1,2,6,3,1,3,2,2,0,-4
36,2018,170,COL,1270,es,1,42,2,1270,6,0,2,1,4,2,5,1,0,170011
37,2018,344,HKG,790,zh,1,27,1,790,6,0,6,3,3,-2,3,2,0,344001
38,2018,400,JOR,170,ar,1,61,3,170,1,10,2,1,7,2,5,1,5,-4
39,2020,804,UKR,3630,ru,2,31,2,9000,1,1,7,3,1,2,2,2,3,804001
40,2018,76,BRA,3530,pt,1,27,1,3530,6,0,2,1,8,-2,4,1,0,76001
41,2022,434,LBY,170,ar,1,39,2,170,6,-1,7,3,1,1,2,2,5,434005
42,2018,484,MEX,1270,es,2,68,3,1270,1,7,0,1,10,3,4,2,1,484003
43,2022,528,NLD,1190,nl,2,56,3,1190,6,2,6,3,1,1,2,1,9,528001
44,2020,320,GTM,1270,es,2,57,3,1270,5,1,3,2,1,-2,2,2,2,320003
45,2018,586,PAK,4420,ur,2,49,2,3540,1,4,0,1,0,-3,5,2,5,586001
46,2018,344,HKG,790,zh,2,65,3,790,1,1,2,1,4,2,4,1,0,344001
47,2018,360,IDN,1890,id,1,47,2,4040,1,2,0,1,10,2,5,1,5,360005
48,2018,484,MEX,1270,es,1,76,3,1270,5,-2,2,1,-1,3,4,1,1,484002
49,2017,840,USA,1240,en,1,65,3,1240,5,0,3,2,-3,2,3,2,1,840001
50,2018,398,KAZ,2230,kk,2,50,3,2230,1,2,5,3,0,-3,3,1,5,398025
51,2018,276,DEU,1530,de,2,40,2,3520,1,1,3,2,5,2,4,2,1,-4
52,2018,422,LBN,170,ar,2,53,3,170,1,2,3,2,4,1,4,2,3,-4
53,2022,434,LBY,170,ar,2,31,2,170,1,0,5,3,0,-3,2,2,5,434005
54,2018,50,BGD,490,bn,1,55,3,490,1,2,1,1,9,2,5,2,5,50006
55,2020,762,TJK,4160,tg,1,30,2,4160,4,3,3,2,0,2,3,2,5,762001
56,2019,392,JPN,2020,ja,2,43,2,2020,6,0,3,2,4,2,3,-1,0,-4
57,2017,840,USA,1240,en,2,32,2,1240,1,3,3,2,-3,3,3,2,0,840001
58,2018,398,KAZ,2230,kk,2,30,2,2230,6,0,7,3,1,2,3,2,5,398025
59,2022,203,CZE,1040,cs,1,77,3,1040,1,2,2,1,7,2,3,2,0,203003
60,2018,360,IDN,1890,id,2,45,2,4040,1,3,0,1,-2,2,5,1,5,360005
61,2023,356,IND,1740,hi,1,25,1,1740,6,-5,3,2,11,3,4,1,6,356017
62,2022,858,URY,1270,es,2,50,3,1270,2,4,2,1,5,3,4,3,0,858104
63,2018,458,MYS,2810,ms,2,19,1,2810,6,0,2,1,0,3,5,1,8,458004
64,2018,792,TUR,4370,tr,1,33,2,-4,1,3,1,1,6,2,4,2,5,-5
65,2018,604,PER,1270,es,2,23,1,1270,6,0,5,3,0,-3,4,2,1,604013
66,2018,360,IDN,1890,id,1,40,2,1890,6,0,3,2,8,2,3,2,5,360004
67,2020,124,CAN,1240,en,1,55,3,1240,1,0,4,2,1,2,3,2,2,124001
68,2017,688,SRB,3780,sr,2,76,3,3780,5,1,7,3,3,1,3,2,3,688001
69,2018,156,CHN,2870,zh,1,37,2,2870,1,1,6,3,-2,2,4,2,0,156001
70,2022,434,LBY,170,ar,2,26,1,170,1,0,6,3,1,1,2,3,5,434005
71,2020,702,SGP,2870,zh,2,47,2,2870,1,2,3,2,4,2,3,2,7,702004
72,2022,528,NLD,1190,nl,2,54,3,1190,1,2,6,3,1,1,1,3,0,528001
73,2023,356,IND,1740,hi,1,49,2,1740,1,4,1,1,1,1,1,3,6,356017
74,2019,446,MAC,2870,zh,1,31,2,790,6,0,3,2,11,1,3,2,1,446006
75,2021,462,MDV,1105,dv,1,47,2,1105,1,3,2,1,2,1,3,3,5,462003
76,2020,364,IRN,3490,fa,2,22,1,1540,6,0,5,3,0,-3,3,2,5,364005
77,2018,276,DEU,1530,de,2,35,2,1530,1,1,3,2,6,2,3,2,0,-4
78,2018,818,EGY,170,ar,1,51,3,170,1,6,1,1,8,2,4,2,5,818001
79,2020,124,CAN,1240,en,2,19,1,1240,6,0,3,2,0,-3,5,1,0,124999
80,2017,643,RUS,3630,ru,1,51,3,3630,1,1,7,3,4,1,2,2,2,643001
81,2018,368,IRQ,170,ar,1,35,2,170,1,3,1,1,5,2,4,1,5,368001
82,2018,458,MYS,2810,ms,2,22,1,2810,6,0,2,1,4,1,2,2,8,458004
83,2018,764,THA,4230,th,1,55,3,4230,1,2,2,1,8,3,5,2,7,764001
84,2020,124,CAN,1240,en,2,24,1,1240,6,0,6,3,4,2,3,2,0,124001
85,2018,218,ECU,1270,es,2,18,1,1270,6,0,3,2,0,-3,3,1,1,218012
86,2020,716,ZWE,3830,sn,1,79,3,3830,1,7,0,1,10,2,2,2,1,716006
87,2018,170,COL,1270,es,1,57,3,1270,1,3,3,2,0,1,3,1,8,170011
88,2018,792,TUR,4370,tr,2,55,3,-4,5,0,1,1,7,2,3,2,5,-5
89,2020,804,UKR,3630,ru,2,63,3,3630,1,2,5,3,8,1,3,1,3,804001
90,2018,36,AUS,1240,en,2,74,3,1240,5,2,-2,-2,-2,2,3,1,8,36001
91,2022,860,UZB,4450,uz,1,18,1,4450,6,0,3,2,7,1,5,2,1,860007
92,2018,152,CHL,1270,es,2,67,3,1270,5,4,2,1,0,-3,4,1,1,152001
93,2018,792,TUR,4370,tr,1,55,3,-4,1,1,1,1,6,2,5,1,5,-5
94,2018,360,IDN,1890,id,2,32,2,1890,1,2,3,2,0,-3,2,3,5,360004
95,2020,124,CAN,1240,en,2,36,2,1240,1,2,6,3,4,3,3,2,6,124999
96,2023,356,IND,1740,hi,1,40,2,1740,1,3,6,3,4,2,3,2,6,356024
97,2022,528,NLD,1190,nl,1,74,3,1190,1,0,4,2,6,-2,3,2,1,528001
98,2023,356,IND,1740,hi,1,60,3,4220,1,2,3,2,9,-1,3,2,6,356024
99,2021,51,ARM,200,hy,2,30,2,200,3,1,2,1,8,-3,4,2,3,51001
100,2020,124,CAN,1240,en,2,42,2,1240,2,0,4,2,3,2,3,2,2,124001
101,2018,50,BGD,490,bn,1,40,2,490,1,2,1,1,8,2,4,3,5,50006
102,2018,76,BRA,3530,pt,2,17,1,3530,6,0,2,1,0,-3,3,1,2,76001
103,2020,104,MMR,740,my,1,23,1,740,1,1,2,1,7,1,2,2,7,104001
104,2021,462,MDV,1105,dv,2,22,1,1105,1,0,1,1,-2,-2,2,2,5,462003
105,2018,76,BRA,3530,pt,2,51,3,3530,1,1,6,3,3,1,5,1,1,76002
106,2017,840,USA,1240,en,2,31,2,1240,2,4,3,2,-3,2,5,1,0,840002
107,2019,446,MAC,2870,zh,2,43,2,790,1,2,4,2,1,-5,2,3,0,446006
108,2018,586,PAK,4420,ur,2,22,1,3540,6,0,1,1,0,-3,4,2,5,586001
109,2020,124,CAN,1240,en,1,88,3,1240,5,0,6,3,1,2,3,2,2,124001
110,2017,68,BOL,1270,es,2,30,2,1270,6,0,6,3,3,-2,3,2,1,68002
111,2018,276,DEU,1530,de,2,77,3,1530,5,5,3,2,4,2,3,2,2,-4
112,2018,410,KOR,2390,ko,1,23,1,2390,6,0,6,3,-3,-3,3,2,0,410004
113,2019,608,PHL,1360,fil,1,30,2,1360,2,3,2,1,7,2,3,3,1,608004
114,2020,702,SGP,1240,en,2,61,3,1240,1,3,4,2,1,1,2,2,2,702004
115,2020,496,MNG,3030,mn,2,35,2,3030,1,4,7,3,1,1,4,1,0,496001
116,2017,643,RUS,3630,ru,2,52,3,3630,1,2,4,2,6,1,4,1,3,643001
117,2020,804,UKR,3630,ru,2,43,2,3630,1,2,5,3,5,3,4,1,-2,804001
118,2017,840,USA,1240,en,1,55,3,1240,1,2,4,2,4,2,3,2,-2,840001
119,2018,642,ROU,3580,ro,1,67,3,3580,1,-2,6,3,1,2,2,3,3,642005
120,2018,792,TUR,4370,tr,2,58,3,-4,1,3,1,1,0,-3,4,1,5,-5
121,2020,104,MMR,740,my,2,45,2,740,1,1,1,1,7,-1,4,2,7,104001
122,2017,300,GRC,1580,el,2,78,3,1580,1,2,0,1,0,-3,5,1,3,300001
123,2019,392,JPN,2020,ja,1,46,2,2020,1,4,2,1,8,1,-1,2,0,-4
124,2018,156,CHN,2870,zh,2,26,1,9060,1,1,3,2,8,3,4,1,0,156001
125,2022,434,LBY,170,ar,1,36,2,170,1,5,3,2,2,1,1,3,5,434005
126,2017,688,SRB,3780,sr,1,52,3,3780,5,0,7,3,3,1,3,2,3,688001
127,2021,862,VEN,1270,es,1,58,3,1270,2,4,3,2,8,2,3,2,1,862001
128,2017,688,SRB,3780,sr,2,47,2,3780,1,2,8,3,2,1,2,2,3,688001
129,2020,104,MMR,740,my,1,38,2,740,1,2,2,1,7,1,2,3,7,104001
130,2022,434,LBY,170,ar,1,54,3,170,1,6,2,1,1,3,3,1,5,434005
131,2018,818,EGY,170,ar,1,32,2,170,1,3,1,1,5,2,4,1,5,818001
132,2017,643,RUS,3630,ru,2,47,2,3630,1,1,5,3,5,1,4,1,3,643001
133,2020,124,CAN,1240,en,2,23,1,1240,6,1,3,2,4,2,2,2,1,124001
134,2020,124,CAN,1400,fr,1,61,3,1400,1,0,5,3,3,2,3,2,1,124001
135,2020,231,ETH,140,am,1,52,3,3390,1,2,1,1,5,3,4,2,3,231003
136,2020,804,UKR,4410,uk,2,66,3,4410,5,1,2,1,6,-5,5,1,3,804001
137,2018,566,NGA,1700,ha,2,20,1,1700,1,2,2,1,0,-3,5,1,5,566002
138,2018,360,IDN,1890,id,1,30,2,1890,1,3,0,1,10,2,4,2,2,360999
139,2019,196,CYP,1580,el,1,22,1,1580,6,0,3,2,4,2,3,2,3,196001
140,2018,344,HKG,790,zh,2,75,3,790,1,3,0,1,8,2,4,2,0,344001
141,2018,604,PER,1270,es,1,47,2,1270,1,1,6,3,1,1,2,2,1,604013
142,2022,826,GBR,1240,en,1,70,3,1240,1,-4,2,1,6,2,-4,-1,2,826100
143,2018,36,AUS,1240,en,2,37,2,1240,1,3,6,3,6,3,3,2,0,36001
144,2018,792,TUR,4370,tr,2,21,1,-4,6,0,3,2,0,2,3,1,0,-5
145,2020,702,SGP,2870,zh,1,66,3,2870,1,1,2,1,7,2,3,2,0,702004
146,2017,688,SRB,3780,sr,1,33,2,3780,3,1,4,2,7,2,4,2,3,688001
147,2020,762,TJK,4450,uz,1,64,3,4450,1,1,4,2,7,2,3,2,5,762002
148,2017,68,BOL,1270,es,1,21,1,1270,6,0,6,3,6,2,2,3,1,68001
149,2023,356,IND,1740,hi,1,16,1,1740,6,-5,2,1,8,-1,4,2,6,356017
150,2017,688,SRB,3780,sr,2,72,3,3780,2,0,4,2,3,1,4,1,3,688001
151,2023,356,IND,1740,hi,1,49,2,1740,1,3,1,1,2,-1,2,2,6,356019
152,2020,762,TJK,4160,tg,1,78,3,4160,1,8,7,3,11,1,3,2,5,762001
153,2022,528,NLD,1190,nl,1,76,3,9000,1,2,4,2,10,-2,4,1,1,528001
154,2022,858,URY,1270,es,1,22,1,1270,6,0,2,1,8,-2,4,2,0,858100
155,2018,818,EGY,170,ar,2,39,2,170,1,4,3,2,0,-3,4,2,5,818001
156,2018,156,CHN,2870,zh,1,69,3,-2,1,5,1,1,9,-5,3,2,0,156001
157,2020,364,IRN,3490,fa,2,49,2,3490,1,2,2,1,0,-3,4,2,5,364001
158,2022,826,GBR,1240,en,2,48,2,1240,3,-4,7,3,2,2,-4,3,8,826105
159,2020,716,ZWE,1240,en,2,29,1,3830,1,2,2,1,0,-3,3,2,1,716006
160,2021,51,ARM,200,hy,2,37,2,200,1,2,3,2,4,2,4,2,3,51001
161,2021,504,MAR,170,ar,1,20,1,170,6,0,0,1,0,1,4,2,5,504005
162,2017,68,BOL,1270,es,1,27,1,1270,6,0,3,2,0,-3,4,2,1,68002
163,2017,68,BOL,1270,es,2,20,1,1270,6,2,1,1,8,2,3,3,2,68001
164,2022,203,CZE,1040,cs,2,85,3,1040,5,2,2,1,3,2,5,1,1,203003
165,2020,702,SGP,1240,en,2,38,2,2870,1,2,3,2,4,2,4,2,0,702004
166,2018,398,KAZ,2230,kk,1,76,3,2230,1,5,-2,-2,5,-2,3,2,0,398025
167,2017,300,GRC,1580,el,1,29,1,1580,2,2,1,1,8,2,4,1,3,300001
168,2020,554,NZL,1240,en,2,59,3,-5,1,1,3,2,3,1,4,-5,1,-4
169,2020,554,NZL,1240,en,2,66,3,1240,1,2,3,2,8,2,4,1,0,-4
170,2018,566,NGA,1240,en,1,42,2,1240,1,5,7,3,3,1,3,2,2,566999
171,2018,152,CHL,1270,es,2,48,2,1270,1,2,3,2,4,-3,4,1,1,152001
172,2020,716,ZWE,3830,sn,1,35,2,3830,1,5,2,1,1,2,3,3,1,716006
173,2021,462,MDV,1105,dv,2,35,2,1105,1,4,0,1,0,-3,5,2,5,462003
174,2020,231,ETH,3390,om,1,27,1,3390,1,1,1,1,4,2,2,3,5,231003
175,2020,417,KGZ,2310,ky,2,50,3,2310,3,3,3,2,8,1,4,1,5,417001
176,2018,792,TUR,4370,tr,2,27,1,-4,1,3,1,1,0,-3,3,2,5,-5
177,2018,360,IDN,1890,id,2,36,2,1890,1,2,3,2,-2,2,3,2,5,360008
178,2018,422,LBN,170,ar,2,39,2,170,1,0,8,3,1,2,2,2,1,-4
179,2018,604,PER,1270,es,2,18,1,1270,6,0,4,2,0,-3,3,2,1,604013
180,2018,586,PAK,4420,ur,2,19,1,3540,1,1,1,1,0,-3,3,1,5,586001
181,2019,608,PHL,1360,fil,1,50,3,1360,1,4,2,1,6,2,4,2,1,608004
182,2018,20,AND,810,ca,1,65,3,1270,1,1,3,2,4,2,3,1,1,20001
183,2023,356,IND,1740,hi,1,39,2,1740,1,3,8,3,4,2,2,3,6,356017
184,2021,862,VEN,1270,es,1,82,3,1270,1,6,1,1,6,1,3,1,1,862001
185,2022,434,LBY,170,ar,2,61,3,170,1,10,0,1,0,-3,5,1,5,434005
186,2017,68,BOL,1270,es,1,56,3,1270,1,5,5,3,1,2,2,3,1,68001
187,2020,231,ETH,140,am,1,45,2,3920,1,4,1,1,8,3,4,2,5,231004
188,2020,704,VNM,4470,vi,2,46,2,4470,1,3,3,2,9,2,4,2,0,704001
189,2017,68,BOL,1270,es,1,31,2,1270,1,0,6,3,-2,-2,2,3,0,68001
190,2017,32,ARG,1270,es,1,23,1,1270,6,0,3,2,4,1,2,2,1,32002
191,2021,504,MAR,170,ar,1,33,2,170,3,3,4,2,8,3,4,2,5,504005
192,2023,356,IND,1740,hi,2,41,2,3540,2,2,3,2,5,3,4,2,9,356017
193,2018,818,EGY,170,ar,2,37,2,170,1,2,3,2,0,-3,3,1,5,818001
194,2018,604,PER,1270,es,1,20,1,1270,2,0,3,2,7,2,2,1,1,604013
195,2018,170,COL,1270,es,2,18,1,1270,2,0,6,3,0,2,2,3,0,170999
196,2018,152,CHL,1270,es,2,18,1,1240,-2,0,3,2,0,-3,3,2,1,152001
197,2018,152,CHL,1270,es,2,49,2,1270,1,3,3,2,8,-2,3,2,1,152001
198,2018,50,BGD,490,bn,1,55,3,490,1,2,2,1,7,2,3,2,5,50006
199,2021,504,MAR,170,ar,2,24,1,500,1,1,0,1,9,2,3,2,5,504005
200,2018,458,MYS,2810,ms,1,61,3,2810,1,6,4,2,1,1,3,2,5,458004
201,2020,702,SGP,2870,zh,2,60,3,1240,6,0,4,2,3,2,4,1,0,702004
202,2022,203,CZE,1040,cs,2,64,3,1040,1,2,2,1,7,2,4,1,0,203003
203,2018,792,TUR,4370,tr,2,56,3,-4,1,4,3,2,0,-3,4,2,5,-5
204,2017,68,BOL,1270,es,2,61,3,1270,4,5,3,2,4,2,2,2,1,68001
205,2020,554,NZL,1240,en,2,89,3,1240,5,3,5,3,6,2,4,1,8,-4
206,2018,458,MYS,2810,ms,2,29,1,2810,6,0,4,2,3,1,3,2,5,458004
207,2021,404,KEN,1240,en,1,38,2,4075,1,3,3,2,7,-3,3,2,2,404005
208,2021,504,MAR,170,ar,2,22,1,170,3,0,0,1,9,3,4,2,5,504005
209,2021,51,ARM,200,hy,2,80,3,200,1,3,7,3,1,-3,2,2,3,51001
210,2018,484,MEX,1270,es,1,51,3,1270,1,3,3,2,9,2,4,1,2,484002
211,2018,156,CHN,2870,zh,2,47,2,9060,1,2,1,1,6,2,5,1,0,156001
212,2019,608,PHL,1360,fil,2,34,2,1360,2,5,1,1,5,2,5,2,1,608001
213,2020,496,MNG,3030,mn,2,73,3,3030,1,8,3,2,2,2,3,2,7,496001
214,2019,608,PHL,1730,hil,2,54,3,1730,1,5,2,1,0,-3,2,2,1,608003
215,2019,196,CYP,1580,el,1,61,3,1580,1,3,3,2,1,1,3,2,3,196001
216,2022,826,GBR,1240,en,1,42,2,1240,1,-4,6,3,2,2,-4,3,0,826100
217,2017,68,BOL,1270,es,2,32,2,1270,1,5,3,2,0,-3,3,2,0,68003
218,2018,170,COL,1270,es,2,57,3,1270,3,2,3,2,3,2,3,1,0,170011
219,2018,276,DEU,1530,de,1,42,2,9000,1,2,8,3,2,2,2,3,0,-4
220,2020,702,SGP,1240,en,1,37,2,9000,1,1,7,3,1,2,3,2,6,702003
221,2019,788,TUN,170,ar,2,37,2,4360,1,4,6,3,0,-3,2,2,5,788005
222,2018,76,BRA,3530,pt,1,45,2,3530,1,2,6,3,3,2,3,1,2,76003
223,2022,858,URY,1270,es,1,24,1,1270,6,0,6,3,1,2,2,2,0,858100
224,2022,860,UZB,4450,uz,2,60,3,4450,1,3,6,3,1,-2,2,1,1,860007
225,2018,344,HKG,790,zh,1,36,2,790,1,2,2,1,3,1,1,3,6,344002
226,2022,528,NLD,1190,nl,2,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
227,2017,840,USA,1240,en,2,37,2,1240,1,2,6,3,1,2,3,2,2,840001
228,2020,231,ETH,4270,tig,1,26,1,4260,6,0,6,3,-5,1,5,1,3,231002
229,2018,818,EGY,170,ar,2,30,2,170,1,0,0,1,0,-3,3,2,5,818001
230,2019,788,TUN,170,ar,1,48,2,4360,1,3,1,1,9,2,4,2,5,788005
231,2018,156,CHN,2870,zh,1,50,3,2870,1,1,3,2,5,1,4,2,0,156001
232,2018,156,CHN,2870,zh,2,51,3,9060,6,2,3,2,4,2,2,2,0,156001
233,2018,170,COL,1270,es,2,38,2,1270,1,1,6,3,3,2,2,1,0,170011
234,2022,826,GBR,1240,en,2,77,3,1240,5,-4,2,1,7,2,-4,2,0,826100
235,2018,152,CHL,1270,es,2,50,3,1270,4,2,3,2,7,-3,4,2,1,152001
236,2018,360,IDN,1890,id,2,32,2,4040,1,3,3,2,-2,2,5,3,5,360005
237,2018,368,IRQ,170,ar,1,35,2,170,1,2,3,2,3,1,4,2,5,368001
238,2020,558,NIC,1270,es,1,43,2,1270,2,2,1,1,7,-3,3,1,0,558001
239,2018,156,CHN,2870,zh,1,26,1,9060,6,0,6,3,4,2,3,2,0,156001
240,2018,792,TUR,4370,tr,2,25,1,-4,6,0,3,2,0,-3,3,2,5,-5
241,2022,434,LBY,170,ar,2,36,2,170,1,11,0,1,0,-3,2,2,5,434005
242,2020,231,ETH,140,am,1,24,1,140,6,0,1,1,10,2,5,1,3,231001
243,2020,804,UKR,3630,ru,2,40,2,9000,1,5,3,2,-1,-5,5,1,3,-1
244,2017,840,USA,1240,en,1,36,2,1240,1,2,7,3,1,1,3,2,1,840001
245,2018,410,KOR,2390,ko,1,56,3,2390,3,1,3,2,8,1,3,2,0,410004
246,2017,840,USA,1240,en,2,27,1,1240,6,4,3,2,5,1,3,2,0,840002
247,2019,608,PHL,1360,fil,1,60,3,1360,1,5,0,1,9,2,3,2,0,608001
248,2022,826,GBR,1240,en,2,54,3,1240,1,-4,6,3,4,2,-4,-1,5,826006
249,2018,344,HKG,790,zh,2,72,3,9060,1,3,1,1,5,2,5,1,0,344001
250,2022,860,UZB,3630,ru,1,64,3,4450,3,0,6,3,1,1,2,3,5,860007
251,2022,434,LBY,170,ar,1,26,1,170,1,0,5,3,4,2,3,2,5,434005
252,2020,320,GTM,1270,es,2,77,3,1270,5,3,1,1,5,2,3,3,2,320003
253,2020,124,CAN,1400,fr,2,49,2,1400,1,3,4,2,5,3,2,2,1,124001
254,2021,504,MAR,170,ar,2,32,2,170,1,1,6,3,9,3,3,3,5,504005
255,2017,68,BOL,1270,es,2,63,3,1270,1,6,1,1,-2,-2,4,-1,1,68003
256,2020,762,TJK,4160,tg,2,51,3,4160,1,2,2,1,8,2,4,1,5,762001
257,2018,152,CHL,1270,es,2,41,2,1270,1,4,3,2,0,-3,3,2,9,152008
258,2018,360,IDN,1890,id,2,35,2,9000,3,3,1,1,8,2,3,2,5,360007
259,2019,788,TUN,170,ar,2,39,2,4360,1,6,1,1,0,-3,5,2,5,788005
260,2018,792,TUR,4370,tr,2,30,2,-4,6,0,0,1,6,3,3,2,5,-5
261,2018,344,HKG,790,zh,2,34,2,790,6,0,7,3,1,-2,3,2,2,344001
262,2020,104,MMR,740,my,1,53,3,740,1,6,2,1,9,1,4,1,7,104001
263,2018,630,PRI,1270,es,1,22,1,1270,6,0,6,3,0,-3,2,2,0,630007
264,2017,643,RUS,3630,ru,1,26,1,3630,6,0,5,3,6,2,4,2,3,643001
265,2018,586,PAK,4420,ur,2,45,2,3720,1,4,3,2,0,2,5,1,5,586008
266,2022,909,NIR,1240,en,2,50,3,1240,6,-4,6,3,2,1,-4,2,1,909003
267,2018,156,CHN,2870,zh,2,26,1,2870,6,0,7,3,1,1,2,2,0,156001
268,2020,124,CAN,1240,en,2,47,2,1240,6,2,2,1,3,2,5,1,2,124001
269,2018,566,NGA,1700,ha,1,24,1,1700,6,0,1,1,9,3,3,3,5,566002
270,2020,231,ETH,140,am,2,45,2,30,1,7,0,1,0,3,4,1,5,231005
271,2018,642,ROU,3580,ro,2,47,2,3580,1,1,3,2,6,2,4,2,3,642005
272,2018,20,AND,810,ca,1,58,3,1270,2,1,2,1,4,2,4,2,1,20001
273,2018,818,EGY,170,ar,2,27,1,170,1,3,6,3,0,-3,3,2,5,818001
274,2017,840,USA,1240,en,2,33,2,1240,1,2,6,3,1,1,3,2,1,840001
275,2018,156,CHN,2870,zh,2,33,2,9060,1,4,2,1,0,-3,3,2,0,156001
276,2023,356,IND,1740,hi,2,29,1,1740,6,-5,6,3,-1,2,3,3,6,356019
277,2020,554,NZL,1240,en,1,53,3,1240,6,0,2,1,4,2,4,2,0,-4
278,2020,558,NIC,1270,es,2,33,2,1270,2,1,1,1,0,-3,5,1,1,558001
279,2020,320,GTM,1270,es,1,28,1,1270,6,-2,3,2,6,2,3,1,1,320003
280,2022,860,UZB,4450,uz,2,72,3,4450,1,6,-5,-5,1,2,3,3,1,860007
281,2018,764,THA,4230,th,2,50,3,4230,1,2,1,1,10,-2,3,2,7,764001
282,2018,642,ROU,3580,ro,1,41,2,3580,1,2,1,1,8,-2,4,2,3,642005
283,2020,320,GTM,1270,es,2,48,2,1270,1,4,1,1,4,-2,3,2,1,320003
284,2018,156,CHN,2870,zh,2,20,1,9060,6,0,6,3,5,-5,3,3,0,156001
285,2018,484,MEX,1270,es,1,46,2,1270,1,3,4,2,4,3,4,1,1,484002
286,2018,76,BRA,3530,pt,2,79,3,3530,1,8,1,1,0,-3,3,2,1,76001
287,2018,156,CHN,2870,zh,2,36,2,9060,1,1,1,1,4,2,5,1,0,156001
288,2018,604,PER,1270,es,1,29,1,1270,2,0,3,2,7,2,4,2,1,604013
289,2018,458,MYS,2810,ms,2,23,1,2810,6,0,6,3,-5,3,3,2,5,458004
290,2020,364,IRN,3490,fa,2,25,1,3490,6,0,7,3,0,-3,3,2,5,364001
291,2018,422,LBN,170,ar,1,71,3,170,1,5,2,1,4,3,2,2,1,-4
292,2018,484,MEX,1270,es,1,62,3,1270,1,3,3,2,6,2,3,1,1,484003
293,2018,344,HKG,790,zh,2,40,2,790,1,0,6,3,3,-2,2,2,2,344001
294,2018,360,IDN,1890,id,2,45,2,9000,1,3,3,2,4,2,4,2,5,360999
295,2020,124,CAN,1240,en,1,31,2,1240,2,1,7,3,1,1,1,2,1,124007
296,2022,434,LBY,170,ar,2,54,3,170,1,7,3,2,3,1,3,3,5,434005
