,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
2867,2018,398,KAZ,2230,kk,2,24,1,2230,6,0,6,3,1,-2,3,1,5,398025
2868,2018,170,COL,1270,es,2,38,2,1270,2,2,3,2,6,2,3,1,0,170011
2869,2018,76,BRA,3530,pt,1,20,1,3530,6,0,6,3,1,2,5,1,9,76001
2870,2021,51,ARM,200,hy,2,34,2,200,1,2,5,3,1,2,4,3,3,51001
2871,2018,36,AUS,1240,en,2,62,3,1240,1,1,3,2,5,2,4,1,0,36001
2872,2018,422,LBN,170,ar,1,23,1,170,6,0,3,2,0,2,3,1,5,-4
2873,2018,398,KAZ,3630,ru,1,31,2,4450,1,3,3,2,4,2,3,2,5,398033
2874,2021,51,ARM,200,hy,1,31,2,200,1,2,3,2,10,1,3,2,3,51001
2875,2022,528,NLD,1190,nl,1,32,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2876,2019,158,TWN,2870,zh,2,41,2,2870,1,0,6,3,1,1,2,2,2,158002
2877,2022,860,UZB,4450,uz,2,54,3,4450,1,3,6,3,1,1,4,2,5,860007
2878,2018,20,AND,1270,es,1,72,3,1270,6,0,1,1,7,2,5,1,1,20001
2879,2021,404,KEN,1240,en,1,40,2,4075,1,4,1,1,4,2,4,2,1,404003
2880,2020,702,SGP,1240,en,2,51,3,2870,1,1,5,3,4,1,3,2,1,702004
2881,2020,554,NZL,1240,en,1,44,2,1240,1,0,5,3,4,2,2,3,8,-4
2882,2018,368,IRQ,170,ar,1,25,1,170,6,0,3,2,0,-3,3,2,5,368001
2883,2019,196,CYP,1580,el,2,43,2,1580,1,2,4,2,3,2,3,1,3,196001
2884,2018,792,TUR,4370,tr,1,39,2,-4,1,2,1,1,2,2,5,1,5,-5
2885,2018,642,ROU,3580,ro,1,75,3,3580,3,2,4,2,6,1,4,2,3,642005
2886,2022,909,NIR,1240,en,1,28,1,1240,6,-4,6,3,1,2,-4,2,1,909003
2887,2018,276,DEU,1530,de,2,23,1,1530,6,0,4,2,1,2,2,-2,0,-4
2888,2020,124,CAN,1240,en,2,37,2,4130,1,3,6,3,6,3,2,2,2,124010
